,ID,ra,dec,z,wavelength,flux,error
0,L202441,150.22704,1.583884,0.345,"[4474.72314453 4475.35400391 4475.98535156 ... 9693.546875   9694.18164062
 9694.81542969]",[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
1,C1797605,150.808533,2.902927,0.365,"[5913.13525391 5913.60351562 5914.07128906 ... 9719.46875    9719.921875
 9720.37597656]",[0.         0.         3.98437548 ... 1.61977506 0.         0.        ],"[  0.           0.         168.15231323 ...  11.23373795   0.
   0.        ]"
2,L329159,149.496458,1.789806,0.247,"[6036.10742188 6036.56005859 6037.01269531 ... 9835.88085938 9836.3359375
 9836.79199219]",[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
3,L385110,150.077576,1.875135,1.174,"[5946.80908203 5947.26171875 5947.71386719 ... 9753.33300781 9753.78808594
 9754.2421875 ]","[ 0.          0.          4.20336199 ... -1.13293302  0.
  0.        ]",[0.         0.         0.01084625 ... 0.04970931 0.         0.        ]
4,L421932,150.381638,1.932056,0.084,"[ 5086.70117188  5087.30957031  5087.91796875 ... 10293.30371094
 10293.93652344 10294.5703125 ]",[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
5,L452180,150.105194,1.981136,0.372,"[ 6332.54541016  6332.96289062  6333.38037109 ... 10202.36425781
 10203.02246094 10203.68066406]",[2.69260287 0.         0.         ...        nan        nan        inf],"[2015.13671875    0.            0.         ...    0.            0.
    0.        ]"
6,L739170,150.100979,2.419435,4.6335,"[ 6287.71044922  6288.16259766  6288.61523438 ... 10087.56640625
 10088.02050781 10088.47363281]","[ 0.          0.         -5.45703125 ... -2.2043457   0.
  0.        ]",[0.         0.         0.04006835 ... 0.03719269 0.         0.        ]
7,L636831,149.965454,2.265508,0.7512,"[5986.37109375 5986.82617188 5987.28125    ... 9771.109375   9771.56347656
 9772.01660156]",[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
8,L864422,149.70982,2.610581,0.828,"[ 5191.75244141  5192.36328125  5192.97412109 ... 10421.70996094
 10422.34472656 10422.98046875]",[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
9,L301504,150.13773,1.743644,0.981,"[ 4990.77148438  4991.38232422  4991.99316406 ... 10221.515625
 10222.15234375 10222.7890625 ]",[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
